,precision,recall,f1-score,support
0,0.9223363286264442,1.0,0.9595993322203673,1437.0
1,1.0,0.25766871165644173,0.4097560975609756,163.0
accuracy,0.924375,0.924375,0.924375,0.924375
macro avg,0.9611681643132222,0.6288343558282209,0.6846777148906714,1600.0
weighted avg,0.9302483151476253,0.924375,0.9035840526894419,1600.0
