,precision,recall,f1-score,support
0,0.984,0.9283018867924528,0.9553398058252427,265.0
1,0.62,0.8857142857142857,0.7294117647058823,35.0
accuracy,0.9233333333333333,0.9233333333333333,0.9233333333333333,0.9233333333333333
macro avg,0.802,0.9070080862533693,0.8423757852655624,300.0
weighted avg,0.9415333333333332,0.9233333333333333,0.9289815343613174,300.0
